Date,Time,Open,High,Low,Close,Volume
2014.10.20,00:00,10996,11008,10957,10966,4213
2014.10.21,00:00,10967,10994,10937,10992,4707
2014.10.22,00:00,10993,11026,10979,11018,4154
2014.10.23,00:00,11017,11052,11014,11046,4290
2014.10.24,00:00,11046,11051,11003,11023,3962
2014.10.27,00:00,11023,11023,10992,11004,3624
2014.10.28,00:00,11003,11009,10962,10988,3426
2014.10.29,00:00,10989,11060,10962,11054,3711
2014.10.30,00:00,11053,11096,11040,11055,4582
2014.10.31,00:00,11055,11155,11051,11132,5497
2014.11.03,00:00,11153,11202,11153,11201,5023
2014.11.04,00:00,11200,11202,11153,11163,4847
2014.11.05,00:00,11162,11248,11152,11230,4839
2014.11.06,00:00,11229,11294,11203,11291,6021
2014.11.07,00:00,11292,11302,11229,11244,5221
2014.11.10,00:00,11232,11263,11207,11260,4345
2014.11.11,00:00,11261,11291,11209,11235,5157
2014.11.12,00:00,11235,11262,11213,11252,5822
2014.11.13,00:00,11252,11270,11239,11260,4566
2014.11.14,00:00,11261,11323,11245,11259,5099
2014.11.17,00:00,11250,11296,11219,11292,4846
2014.11.18,00:00,11293,11299,11265,11278,4418
2014.11.19,00:00,11277,11320,11277,11307,4992
2014.11.20,00:00,11308,11348,11295,11312,5448
2014.11.21,00:00,11311,11339,11285,11327,5799
2014.11.24,00:00,11335,11350,11319,11330,4087
2014.11.25,00:00,11329,11372,11328,11340,5022
2014.11.26,00:00,11340,11358,11308,11313,4491
2014.11.27,00:00,11314,11336,11284,11330,3549
2014.11.28,00:00,11330,11380,11329,11368,4067
2014.12.01,00:00,11378,11406,11327,11354,5254
2014.12.02,00:00,11353,11411,11343,11408,4243
2014.12.03,00:00,11408,11436,11400,11431,4521
2014.12.04,00:00,11432,11453,11391,11426,4817
2014.12.05,00:00,11427,11503,11420,11494,4487
2014.12.08,00:00,11502,11522,11456,11475,4438
2014.12.09,00:00,11476,11504,11385,11448,5925
2014.12.10,00:00,11448,11462,11390,11394,5831
2014.12.11,00:00,11394,11453,11362,11420,6316
2014.12.12,00:00,11420,11442,11400,11422,5649
2014.12.15,00:00,11415,11454,11404,11434,5968
2014.12.16,00:00,11434,11441,11346,11380,6928
2014.12.17,00:00,11380,11508,11378,11494,6381
2014.12.18,00:00,11494,11515,11463,11483,5702
2014.12.19,00:00,11483,11525,11478,11515,4719
2014.12.22,00:00,11517,11538,11499,11530,3289
2014.12.23,00:00,11531,11580,11531,11568,3310
2014.12.24,00:00,11569,11573,11551,11552,2688
2014.12.26,00:00,11544,11560,11543,11554,1475
2014.12.29,00:00,11550,11570,11535,11566,3496
2014.12.30,00:00,11566,11572,11513,11527,3841
2014.12.31,00:00,11528,11551,11514,11550,2892
2015.01.02,00:00,11576,11636,11571,11632,3518
2015.01.05,00:00,11652,11685,11631,11648,5342
2015.01.06,00:00,11647,11661,11607,11655,5714
2015.01.07,00:00,11653,11713,11653,11684,5682
2015.01.08,00:00,11685,11715,11676,11690,4369
2015.01.09,00:00,11690,11700,11633,11635,5272
2015.01.12,00:00,11623,11678,11611,11643,4686
2015.01.13,00:00,11643,11675,11618,11647,5467
2015.01.14,00:00,11647,11665,11587,11628,6040
2015.01.15,00:00,11627,11667,11584,11629,7132
2015.01.16,00:00,11630,11713,11619,11666,7072
2015.01.19,00:00,11672,11676,11652,11669,4578
2015.01.20,00:00,11670,11708,11669,11703,4892
2015.01.21,00:00,11703,11720,11643,11701,6008
2015.01.22,00:00,11702,11813,11665,11790,6450
2015.01.23,00:00,11791,11863,11780,11840,6941
2015.01.26,00:00,11851,11867,11812,11825,5640
2015.01.27,00:00,11826,11836,11746,11771,5931
2015.01.28,00:00,11771,11809,11747,11804,5999
2015.01.29,00:00,11803,11874,11798,11851,5536
2015.01.30,00:00,11852,11860,11825,11847,5421
2015.02.02,00:00,11829,11848,11812,11829,4879
