Date,Time,Open,High,Low,Close,Volume
2019.09.16,00:00,10168,10172,10132,10137,6238
2019.09.17,00:00,10138,10155,10110,10117,5220
2019.09.18,00:00,10117,10138,10110,10117,5075
2019.09.19,00:00,10116,10189,10114,10149,6108
2019.09.20,00:00,10150,10219,10146,10215,5110
2019.09.23,00:00,10195,10257,10193,10223,4730
2019.09.24,00:00,10222,10251,10187,10239,6035
2019.09.25,00:00,10240,10258,10219,10231,6276
2019.09.26,00:00,10231,10254,10222,10233,5709
2019.09.27,00:00,10233,10254,10188,10217,6186
2019.09.30,00:00,10213,10239,10208,10216,5088
2019.10.01,00:00,10214,10272,10190,10248,6166
2019.10.02,00:00,10247,10320,10233,10311,6336
2019.10.03,00:00,10306,10345,10299,10320,7033
2019.10.04,00:00,10320,10333,10296,10308,5720
2019.10.07,00:00,10336,10336,10272,10293,4762
2019.10.08,00:00,10292,10344,10268,10326,6200
2019.10.09,00:00,10326,10339,10279,10293,5096
2019.10.10,00:00,10293,10335,10184,10186,8292
2019.10.11,00:00,10186,10201,10055,10088,8468
2019.10.14,00:00,10098,10150,10079,10107,5413
2019.10.15,00:00,10104,10130,10031,10037,6634
2019.10.16,00:00,10036,10085,10021,10029,7290
2019.10.17,00:00,10029,10043,9951,9991,7021
2019.10.18,00:00,9989,10012,9981,9984,5806
2019.10.21,00:00,9984,10016,9947,9961,5236
2019.10.22,00:00,9960,10003,9941,9995,5132
2019.10.23,00:00,9995,10027,9965,9965,5352
2019.10.24,00:00,9965,10015,9955,9997,5245
2019.10.25,00:00,9997,10012,9985,9997,4379
2019.10.28,00:00,9990,9999,9952,9956,3760
2019.10.29,00:00,9957,9976,9946,9957,4075
2019.10.30,00:00,9956,9976,9947,9949,4788
2019.10.31,00:00,9950,10036,9945,10021,5881
2019.11.01,00:00,10021,10033,9986,9999,4765
2019.11.04,00:00,9995,9999,9972,9986,3540
2019.11.05,00:00,9986,9990,9935,9940,5209
2019.11.06,00:00,9939,9985,9934,9969,4319
2019.11.07,00:00,9969,10011,9925,9944,5778
